x,z,y
7.5,9.029326171962184,1
22.5,9.029326171962184,1
37.5,9.029326171962184,1
52.5,9.029326171962184,1
67.5,9.029326171962184,1
82.5,9.203353740190872,1
97.5,9.274546836284426,1
112.5,9.274546836284426,1
127.5,9.32991924435719,1
142.5,10.662812210108731,1
157.5,9.341784760372782,1
172.5,9.412977856466338,1
187.5,9.401112340450744,1
202.5,9.39320199644035,1
217.5,10.737960478207482,1
232.5,9.337829588367585,1
247.5,9.32991924435719,1
262.5,9.262681320268834,1
277.5,9.258726148263637,1
292.5,9.242905460242847,1
307.5,9.199398568185675,1
322.5,9.183577880164885,1
337.5,10.734005306202285,1
352.5,9.128205472092121,1
367.5,9.112384784071331,1
382.5,9.737301960892527,1
397.5,10.658857038103532,1
412.5,9.088653752040146,1
427.5,10.650946694093138,1
442.5,9.088653752040146,1
457.5,9.049102031988172,1
472.5,9.076788236024553,1
487.5,10.63117083406715,1
502.5,9.072833064019356,1
517.5,10.587663942009979,1
532.5,10.686543242139916,1
547.5,10.457143265838463,1
562.5,10.749825994223075,1
577.5,9.057012375998568,1
592.5,10.607439802035966,1
607.5,9.108429612066134,1
622.5,9.09656409605054,1
637.5,10.67863289812952,1
652.5,10.595574286020375,1
667.5,9.041191687977777,1
682.5,10.690498414145113,1
697.5,9.076788236024553,1
712.5,10.666767382113928,1
727.5,9.108429612066134,1
742.5,10.50856050190603,1
757.5,9.072833064019356,1
772.5,10.536246705942412,1
787.5,9.911329529121215,1
802.5,9.029326171962184,1
817.5,9.029326171962184,1
832.5,9.029326171962184,1
847.5,9.029326171962184,1
862.5,9.029326171962184,1
877.5,9.029326171962184,1
892.5,9.029326171962184,1
907.5,9.029326171962184,1
922.5,9.029326171962184,1
937.5,9.029326171962184,1
952.5,9.029326171962184,1
967.5,9.029326171962184,1
982.5,9.029326171962184,1
997.5,9.029326171962184,1
1012.5,9.029326171962184,1
1027.5,9.029326171962184,1
1042.5,9.029326171962184,1
1057.5,9.029326171962184,1
1072.5,9.029326171962184,1
1087.5,9.029326171962184,1
1102.5,9.029326171962184,1
1117.5,9.029326171962184,1
